portuguese,english
Eu gosto de comer arroz.,I like to eat rice.
"Olá, qual é o seu nome?",Hello what is your name?
Atenção é tudo que você precisa.,Attention is all you need.
Nos finais de semana gosto de jogar e assistir futebol.,"On the weekends, I like to play and watch football."
Os soldados recuaram da linha de frente.,The soldiers fell back from the front line.
A música emanava por toda a sala.,The music emanated throughout the room.
Força e condicionamento são essenciais para ter sucesso no esporte.,Strength and conditioning is essential to succeed in the sport.
O orador falou com suprema confiança para a multidão.,The speaker spoke with supreme confidence to the crowd.
Foi uma grande decisão que teve repercussões significativas.,It was a huge decision which held significant repercussions.  
O sol brilha através das nuvens.,The sun shines through the clouds.